brand;name;product_type;shade;price;old_price;url;image_url;r;g;b;hex
SHIKstudio;Perfect liquid foundation;Тональный крем для лица;;1701;2100;https://goldapple.ru/19000145949-perfect-liquid-foundation;https://pcdn.goldapple.ru/p/p/19000058256/web/746f6e658ddc4cac5f76ceb.jpg;242;197;158;#f2c59e
Avon;Make up + care matte;Матирующий тональный крем для лица;;735;886;https://goldapple.ru/19000472181-make-up-care-matte;https://pcdn.goldapple.ru/p/p/19000472181/web/746f6e655f36646438613333383836626134383036393732363361623266383830646430308de1913408ec544.jpg;235;185;136;#ebb988
Avon;Make up + care matte;Матирующий тональный крем для лица;;735;886;https://goldapple.ru/19000472181-make-up-care-matte;https://pcdn.goldapple.ru/p/p/19000472176/web/746f6e655f33663363363866333338626334653739386461353733646433353934653932328de1913321537df.jpg;254;228;205;#fee4cd
Avon;Make up + care matte;Матирующий тональный крем для лица;;735;886;https://goldapple.ru/19000472181-make-up-care-matte;https://pcdn.goldapple.ru/p/p/19000472177/web/746f6e655f63303536633534666534323734333965623935333631303562613463343032348de191335ba0e90.jpg;251;221;183;#fbddb7
MAC;Studio Fix ​Fluid 24HR Matte;Тональная основа spf 15;;3367;4490;https://goldapple.ru/19000279866-studio-fix-fluid-24hr-matte;https://pcdn.goldapple.ru/p/p/19000279866/web/746f6e658ddc58015c1fbb1.jpg;230;200;172;#e6c8ac
MAC;Studio Fix ​Fluid 24HR Matte;Тональная основа spf 15;;3367;4490;https://goldapple.ru/19000279866-studio-fix-fluid-24hr-matte;https://pcdn.goldapple.ru/p/p/19000279842/web/746f6e655f34396435343933373861616634333932613333326634653466633033326338328de61832bce3015.jpg;246;197;157;#f6c59d
MAC;Studio Fix ​Fluid 24HR Matte;Тональная основа spf 15;;3367;4490;https://goldapple.ru/19000279866-studio-fix-fluid-24hr-matte;https://pcdn.goldapple.ru/p/p/19000279843/web/746f6e655f64643639383736396637393834633763613937663463306361343464323633658de6000b2090d76.jpg;246;190;139;#f6be8b
3INA;The 24h Foundation;Тональная основа;;1452;2640;https://goldapple.ru/3264700011-the-24h-foundation;https://pcdn.goldapple.ru/p/p/3264700011/web/746f6e658ddc440f0685c26.jpg;236;202;164;#eccaa4
3INA;The 24h Foundation;Тональная основа;;1452;2640;https://goldapple.ru/3264700011-the-24h-foundation;https://pcdn.goldapple.ru/p/p/3264700002/web/746f6e658ddc440bca0fea2.jpg;243;209;171;#f3d1ab
3INA;The 24h Foundation;Тональная основа;;1452;2640;https://goldapple.ru/3264700011-the-24h-foundation;https://pcdn.goldapple.ru/p/p/3264700003/web/746f6e658ddc440bca4d773.jpg;242;211;180;#f2d3b4
Avon;Make up + care illuminating;Тональный крем для лица;;655;886;https://goldapple.ru/19000472186-make-up-care-illuminating;https://pcdn.goldapple.ru/p/p/19000472186/web/746f6e655f32376330313261336135306534656238396362333562383432396636366163308de19134ee74f2a.jpg;244;209;167;#f4d1a7
